ticker,signal_date,system,pattern_family,A_sobreventa_estructural,B_rebote_suave,D_pullback_controlado,E_microcorreccion_compresion,rsi14,atr14,dist_ema20_atr,dist_bb_lo_atr,body_atr_ratio,wick_low_atr_ratio,bb_width,dist_ema20_pct,dist_ema50_pct,roc10,vol_zscore10,trend_regime,market_bucket,is_trend_up,is_trend_down,is_trend_range,is_supersignal_v40,supersignal_tipo_v40,is_e_prime_v40,is_change_candidate,quality_tier,quality_note,signal_score,signal_score_reasons,setup_code,setup_note,holding_horizon_days,trade_style,entry_price,stop_price,target_price,signal_status
ABBV,2026-04-23,v40,B_D,False,True,True,False,36.390681310915646,5.253841635661188,-1.3832572872621571,0.12320870956066561,-0.019034853056251168,0.10373326924170323,3.1726578099090927,-3.4903011569114684,-6.132869660048613,-5.390770846171733,0.571454820497086,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ACN,2026-04-23,v40,A_B,True,True,False,False,34.21262692878889,7.843003876293174,-1.922107039443112,-0.40602300843956646,-0.34680605334453496,0.4347828607374142,3.0019264049245087,-7.796584421604214,-13.324448526255772,-4.165994759369152,1.711896979971053,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
BRK-B,2026-04-23,v40,B,False,True,False,False,40.55229477144672,6.538238584429982,-0.8231545398682839,0.657019906818705,0.5857826267438951,-0.04588205050870036,2.8409067045619056,-1.1308298515281812,-2.437602159505081,-3.0193784100342236,-0.42429758654522814,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
CPRT,2026-04-23,v40,E,False,False,False,True,50.78799294279528,0.8093275616427414,0.3666800065737063,1.7528669600983675,0.4695269086646735,0.2780066870136001,1.8549788363067197,0.8836677569337814,-2.834487790486906,2.6977852208760478,-0.3882100509599424,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
CSGP,2026-04-23,v40,B_D,False,True,True,False,35.51443408633533,1.8709871874231099,-1.242138321577675,0.4837195635138469,-0.5879241084681662,0.4382711438839917,2.912935414323128,-5.8533733769018825,-15.21085716028383,0.16077538526704238,0.23549043653945947,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
DXCM,2026-04-23,v40,E,False,False,False,True,43.58796348144017,2.1915525315859163,-0.5317237899082464,0.963139132512409,-0.17795575694743423,0.3650376733071635,2.4555826302246686,-1.8246224361009422,-4.690771473047894,-4.537149099254034,-1.3976345315396266,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
GEHC,2026-04-23,v40,B_D,False,True,True,False,39.891716196732496,2.0696476605850087,-1.2908267637208986,0.7154275737449989,-0.5459853263615714,0.2971509960278434,3.4973917843857274,-3.6817796360928967,-6.0789929224889905,-4.142098643221448,0.9485535723176179,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
GILD,2026-04-23,v40,B_D,False,True,True,False,36.05333620387188,3.0811229674826337,-1.390036527755408,0.34583776553121715,-0.12333324142625017,0.2774948408623946,3.5068830514566387,-3.10526701080589,-3.996206796736501,-5.946933046678426,-0.9168674945953312,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
HON,2026-04-23,v40,A,True,False,False,False,32.55204576017799,5.848053495031504,-2.2841328692816467,-0.44586439420092283,1.1056676248707855,0.0,3.768626487274537,-5.866431498113811,-6.076184396848195,-9.201051192636667,2.360260620719916,DOWN,US_OR_OTHER,False,True,False,False,,False,False,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,92,"quality=HIGH,pattern_A_positive_base,A_US_strength",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
IDXX,2026-04-23,v40,B,False,True,False,False,42.04173375967375,17.82226900488709,-0.9371464039994548,0.4381674057129165,-0.9493731076282474,0.3590992469674484,2.26443043859268,-2.891473004140721,-6.22666146677302,-4.073536951555157,1.4050853464027437,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
